Smiles,Title
CN(C)C(=O)C1CCC(NC(C2=NN=NN2C2CCOCC2)C2(C)CCCC2)CC1,m_281630____20792932____21622522____25335412
CC(C)N1N=NN=C1C(NC1CCC(C(=O)N(C)C)CC1)C1=NC(C(C)(C)C)=CN1,m_281630____20792932____21625908____20772828
C=CCCN1N=NN=C1C(CC1CCC(C)(C)O1)NC1CCC(C(=O)N(C)C)CC1,m_281630____20792932____25333916____28417812
C=CCCCN1N=NN=C1C(NC(C)C1=CSC2=CC=CC=C12)C1CCN(C)CC1,m_281630____20792934____21618632____28417808
C=C(C)CN1N=NN=C1C(NC(C)C1=CSC2=CC=CC=C12)C1=CC(CC)=CN=C1,m_281630____20792934____21624100____20614582
CCCCN1CCC(NC(C)C2=CSC3=CC=CC=C23)(C2=NN=NN2C2CC2)CC1,m_281630____20792934____27022704____20772826
C=CCCN1N=NN=C1C(NC(C)C1=CC=C(Cl)C=C1F)C1=CC=C(OC)N=C1C,m_281630____20792938____21619770____28417812
COCCCN1N=NN=C1C(NC(C)C1=CC=C(Cl)C=C1F)C1=NC(CO)=CC=C1,m_281630____20792938____21623318____20772946
CC(NC(CSCC1=CC=CC=C1)C1=NN=NN1CCC#N)C1=CC=C(Cl)C=C1F,m_281630____20792938____21626428____27246250
CC(NC1(C2=NN=NN2C2CCOCC2)CCC(CO)CC1)C1=CC=C(Cl)C=C1F,m_281630____20792938____27245878____25335412
NC(=O)C(NC(C1=C(F)C(C2CC2)=CC=C1)C1=NN=NN1CC1=CC=CS1)C1CC1,m_281630____20792940____21619068____25335384
NC(=O)C(NC(C1=CN(C(F)(F)F)N=C1)C1=NN=NN1CC1=CC=CC=C1)C1CC1,m_281630____20792940____21621466____20772962
CCN(C(C)=O)C1=NC(C(NC(C(N)=O)C2CC2)C2=NN=NN2C(C)(C)CC)=CS1,m_281630____20792940____21623992____20772906
CN(C)C1=CN=C(C(NC(C(N)=O)C2CC2)C2=NN=NN2CC2=CC=CC=C2)C=N1,m_281630____20792940____21627664____20772962
COC1=CC=C(N2N=NN=C2C2(NC(C(N)=O)C3CC3)CCC(C)(CO)CC2)C=C1,m_281630____20792940____27245772____20773004
CC(C)N1N=NN=C1C(NC1CC2CC2C1)C1=C(NC(=O)OC(C)(C)C)C=NN1C,m_281630____20792944____21618304____20772828
